"Name","ID","Runtime","GPU Count","GPU Type","Sweep","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"emnist_vs_emnist_test_taeniodonta","afyn2jgn","187","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_emnist_train_whaling","ophzpxjj","925","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_omniglot_test_swan","i5qguf84","71","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_omniglot_train_sowens","e2q4vl8v","99","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_fashion-mnist_test_epicanthic","l1deu78c","85","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_fashion-mnist_train_enureses","ck71agcu","135","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_mnist_test_cuprums","u5plhw14","80","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_mnist_train_gormandiser","sptdowgl","135","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_dgm-generated_test_pedarian","1cdnbrzg","67","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","10","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"emnist_vs_dgm-generated_train_assignors","emkkkxu7","75","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","emnist","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_emnist_josey_zkejz05t_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_emnist_test_hemogregarine","otpodhp9","158","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_emnist_train_utensil","2p3ux6mo","890","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_omniglot_test_terrestrialism","2m23rnns","43","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_omniglot_train_multithread","uvuu4wc2","63","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_fashion-mnist_test_bovids","8yt0nzsz","46","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_fashion-mnist_train_unpresentably","vm3y7v3t","102","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_mnist_test_stockwright","vojluc49","47","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_mnist_train_confiscate","urgpdwhr","104","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_dgm-generated_test_postnasal","p0wrbta9","36","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","10","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"omniglot_vs_dgm-generated_train_glegness","zs2a4qum","111","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","omniglot","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_omniglot_sarcophaguses_24z9ios4_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_emnist_test_angledozer","457bl191","163","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_emnist_train_frenchiness","k3as2vi8","885","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_omniglot_test_pantostome","hp3ej25k","38","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_fashion-mnist_test_suiciding","fxjl70zg","47","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_fashion-mnist_train_sulpharsenide","rd9xiz54","102","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_mnist_test_overseership","leqtd7vh","45","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"fashion-mnist_vs_dgm-generated_train_neoteny","6e9kwjsh","109","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","fashion-mnist","","","","","false","32","32","32","train","dgm-generated","1000","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_fashion-mnist_spritzer_ahbuahyr_final/run_config.json","10","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_emnist_test_monothalamic","8ifdcx6l","156","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_emnist_train_protura","dx9ia39s","891","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","emnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_omniglot_test_ichnolite","onrv326t","42","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_omniglot_train_lumpsucker","x3safvdo","59","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","omniglot","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_fashion-mnist_test_insep","wwb53uh0","47","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_fashion-mnist_train_carpellary","vjvvvw38","100","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","fashion-mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_mnist_test_syphilitically","g2w6ro5v","47","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
"mnist_vs_mnist_train_spragman","g6gdcvvp","101","8","Tesla V100-SXM2-32GB","avi7rrvs","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/AffineCouplingTransform_mnist_unforgettably_6a8il0rr_final/run_config.json","mnist","","","","","false","32","32","32","train","mnist","","","","","false","32","32","32","train","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",""
